Time;II;Pleth
hh:mm:ss.000';mV';mV'
'00:53:38.606';-166;7.78
'00:53:38.655';-187;3.91
'00:53:38.655';-196;2.08
'00:53:38.704';-194;1.65
'00:53:38.704';-183;1.45
'00:53:38.704';-167;1.83
'00:53:38.737';-152;2.53
'00:53:38.737';-135;3.99
'00:53:38.787';-120;5.34
'00:53:38.787';-109;6.4
'00:53:38.820';-97;7.13
'00:53:38.820';-89;7.36
'00:53:38.854';-86;7.5
'00:53:38.854';-87;8.17
'00:53:38.889';-91;11.21
'00:53:38.923';-95;13.17
'00:53:38.923';-98;9.63
'00:53:38.972';-98;5.66
'00:53:38.972';-97;3.13
'00:53:39.021';-93;1.02
'00:53:39.021';-88;-14.35
'00:53:39.021';-85;76.63
'00:53:39.055';-81;118.69
'00:53:39.055';-80;-17.39
'00:53:39.106';-78;-52.56
'00:53:39.106';-78;-47.2
'00:53:39.155';-77;-41.34
'00:53:39.155';-74;-35.78
'00:53:39.155';-72;-29.63
'00:53:39.188';-71;-24.51
'00:53:39.239';-71;-14.54
'00:53:39.239';-78;0.21
'00:53:39.239';-100;10.19
'00:53:39.289';-131;8.82
'00:53:39.289';-161;5.87
'00:53:39.339';-186;2.13
'00:53:39.339';-197;-0.14
'00:53:39.339';-197;-0.89
'00:53:39.372';-187;-0.92
'00:53:39.405';-173;-0.7
'00:53:39.405';-156;0.51
'00:53:39.439';-141;2.38
'00:53:39.439';-124;4.09
'00:53:39.472';-111;5.35
'00:53:39.472';-98;6.48
'00:53:39.522';-89;6.93
'00:53:39.522';-84;7.2
'00:53:39.572';-84;7.82
'00:53:39.572';-87;11.15
'00:53:39.605';-91;12.88
'00:53:39.605';-92;10.85
'00:53:39.639';-93;7.36
'00:53:39.639';-91;4.32
'00:53:39.672';-89;2.51
'00:53:39.705';-86;-10.02
'00:53:39.705';-82;52.56
'00:53:39.739';-79;130.65
'00:53:39.739';-78;-16.1
'00:53:39.772';-78;-47.95
'00:53:39.806';-78;-44.77
'00:53:39.806';-78;-40.66
'00:53:39.855';-77;-35.01
'00:53:39.855';-75;-29.37
'00:53:39.855';-74;-20.89
'00:53:39.889';-74;-8.82
'00:53:39.939';-80;5.16
'00:53:39.939';-100;14.45
'00:53:39.939';-130;11.71
'00:53:39.973';-159;6.67
'00:53:39.973';-182;2.39
'00:53:40.022';-192;0.76
'00:53:40.022';-191;0.47
'00:53:40.072';-182;0.62
'00:53:40.072';-167;1.19
'00:53:40.120';-152;2.28
'00:53:40.120';-135;3.47
'00:53:40.120';-120;4.7
'00:53:40.170';-107;6.19
'00:53:40.170';-95;7.04
'00:53:40.205';-88;7.59
'00:53:40.205';-84;7.69
'00:53:40.238';-85;7.96
'00:53:40.238';-87;10.24
'00:53:40.272';-92;14.29
'00:53:40.320';-95;12.11
'00:53:40.320';-96;7.43
'00:53:40.320';-96;3.55
'00:53:40.371';-92;1.92
'00:53:40.371';-87;-3.8
'00:53:40.420';-84;-27.36
'00:53:40.420';-81;174.89
'00:53:40.420';-76;49.96
'00:53:40.455';-74;-46.8
'00:53:40.455';-71;-52.47
'00:53:40.489';-69;-48.61
'00:53:40.522';-68;-42.36
'00:53:40.522';-67;-35.3
'00:53:40.572';-67;-28.51
'00:53:40.572';-66;-20.5
'00:53:40.572';-69;-7.56
'00:53:40.605';-82;3.88
'00:53:40.640';-106;7.81
'00:53:40.640';-139;4.35
'00:53:40.672';-169;0.04
'00:53:40.672';-191;-2.81
'00:53:40.721';-197;-4.18
'00:53:40.721';-191;-4.12
'00:53:40.756';-180;-3.55
'00:53:40.756';-162;-2.43
'00:53:40.789';-143;-0.21
'00:53:40.837';-125;2.8
'00:53:40.837';-110;5.58
'00:53:40.837';-97;7.74
'00:53:40.872';-87;8.6
'00:53:40.905';-80;8.73
'00:53:40.905';-80;9.04
'00:53:40.955';-83;12.1
'00:53:40.955';-88;15.85
'00:53:40.955';-94;14.66
'00:53:40.989';-96;11.28
'00:53:41.022';-97;7.91
'00:53:41.022';-97;5.39
'00:53:41.072';-94;-2.86
'00:53:41.072';-90;-4.59
'00:53:41.072';-86;86.41
'00:53:41.123';-82;16.36
'00:53:41.123';-80;-46.1
'00:53:41.157';-79;-43.38
'00:53:41.157';-78;-38.9
'00:53:41.205';-77;-32.01
'00:53:41.205';-77;-25.5
'00:53:41.239';-76;-17.61
'00:53:41.239';-74;-8.12
'00:53:41.271';-77;4.62
'00:53:41.271';-91;14.65
'00:53:41.322';-116;14.25
'00:53:41.322';-148;9.76
'00:53:41.372';-177;3.9
'00:53:41.372';-195;0.89
'00:53:41.372';-198;0.04
'00:53:41.405';-190;-0.32
'00:53:41.455';-177;-0.23
'00:53:41.455';-160;0.71
'00:53:41.455';-144;2.94
'00:53:41.503';-128;4.86
'00:53:41.503';-112;6.26
'00:53:41.553';-98;6.82
'00:53:41.553';-89;6.87
'00:53:41.553';-84;6.9
'00:53:41.587';-83;7.64
'00:53:41.622';-87;10.36
'00:53:41.622';-92;13.15
'00:53:41.655';-96;11.21
'00:53:41.655';-99;7.88
'00:53:41.705';-100;5.46
'00:53:41.705';-97;3.31
'00:53:41.739';-92;-5.52
'00:53:41.739';-87;27.13
'00:53:41.788';-84;149.89
'00:53:41.788';-79;0.44
'00:53:41.822';-77;-55.48
'00:53:41.822';-76;-52.46
'00:53:41.855';-74;-46.82
'00:53:41.855';-72;-40.62
'00:53:41.888';-72;-34.42
'00:53:41.888';-72;-27.77
'00:53:41.922';-74;-18.07
'00:53:41.972';-80;-3.57
'00:53:41.972';-98;8.24
'00:53:41.972';-126;9.38
'00:53:42.005';-160;5.75
'00:53:42.055';-187;0.54
'00:53:42.055';-202;-2.18
'00:53:42.055';-203;-2.53
'00:53:42.089';-192;-2.04
'00:53:42.089';-177;-1.49
'00:53:42.122';-160;-0.64
'00:53:42.172';-143;1.26
'00:53:42.172';-128;3.31
'00:53:42.172';-112;5.23
'00:53:42.205';-100;6.88
'00:53:42.255';-90;7.94
'00:53:42.255';-84;8.57
'00:53:42.255';-81;9.23
'00:53:42.288';-83;12.44
'00:53:42.338';-89;14.47
'00:53:42.338';-93;10.32
'00:53:42.338';-96;5.81
'00:53:42.372';-95;3.08
'00:53:42.372';-94;1.76
'00:53:42.422';-88;-7.1
'00:53:42.422';-85;23.45
'00:53:42.456';-80;145.26
'00:53:42.456';-78;-10.02
'00:53:42.505';-77;-53.37
'00:53:42.505';-75;-49.7
'00:53:42.538';-73;-42.75
'00:53:42.538';-72;-36.8
'00:53:42.589';-71;-31.02
'00:53:42.589';-70;-24.69
'00:53:42.589';-69;-13.04
'00:53:42.638';-73;3.36
'00:53:42.638';-93;14.91
'00:53:42.671';-122;14.32
'00:53:42.671';-155;10.04
'00:53:42.722';-182;4.99
'00:53:42.722';-194;2.05
'00:53:42.755';-196;1.15
'00:53:42.755';-188;1.1
'00:53:42.805';-173;1.85
'00:53:42.805';-156;3.15
'00:53:42.838';-137;5.04
'00:53:42.838';-121;6.61
'00:53:42.872';-105;7.38
'00:53:42.872';-93;8.13
'00:53:42.905';-84;8.89
'00:53:42.955';-80;8.92
'00:53:42.955';-78;8.93
'00:53:42.955';-80;10.48
'00:53:43.005';-86;13.56
'00:53:43.005';-90;12.29
'00:53:43.038';-91;8.94
'00:53:43.038';-91;4.98
'00:53:43.072';-90;1.45
'00:53:43.072';-87;-4.51
'00:53:43.105';-83;-28.71
'00:53:43.139';-79;182.06
'00:53:43.139';-78;55.79
'00:53:43.188';-75;-49.27
'00:53:43.188';-75;-54.54
'00:53:43.188';-74;-48.9
'00:53:43.238';-74;-41.45
'00:53:43.238';-73;-33.33
'00:53:43.288';-73;-26.78
'00:53:43.288';-72;-17.51
'00:53:43.322';-73;-5.87
'00:53:43.322';-85;4.89
'00:53:43.355';-113;8.12
'00:53:43.355';-146;4.64
'00:53:43.389';-175;-0.66
'00:53:43.389';-194;-3.31
'00:53:43.438';-199;-4.04
'00:53:43.438';-193;-3.69
'00:53:43.488';-179;-2.69
'00:53:43.488';-163;-1.15
'00:53:43.488';-145;0.68
'00:53:43.522';-127;2.73
'00:53:43.555';-111;4.56
'00:53:43.555';-97;5.75
'00:53:43.605';-87;7.1
'00:53:43.605';-80;7.69
'00:53:43.638';-78;8.32
'00:53:43.638';-82;11.23
'00:53:43.671';-87;15.02
'00:53:43.671';-91;12.48
'00:53:43.722';-94;8.66
'00:53:43.722';-95;4.85
'00:53:43.754';-94;2.66
'00:53:43.754';-91;-4.82
'00:53:43.805';-88;-16.15
'00:53:43.805';-84;137.09
'00:53:43.805';-80;25.97
'00:53:43.855';-76;-47.87
'00:53:43.855';-73;-45.31
'00:53:43.888';-72;-40.87
'00:53:43.888';-71;-35.49
'00:53:43.938';-72;-29.15
'00:53:43.938';-72;-21.07
'00:53:43.988';-71;-11.29
'00:53:43.988';-74;2.26
'00:53:43.988';-86;14.01
'00:53:44.022';-112;13.36
'00:53:44.072';-145;9.05
'00:53:44.072';-174;3.52
'00:53:44.072';-192;0.74
'00:53:44.122';-196;0.86
'00:53:44.122';-190;0.59
'00:53:44.171';-175;0.44
'00:53:44.171';-157;0.77
'00:53:44.171';-139;1.99
'00:53:44.218';-122;3.44
'00:53:44.218';-107;4.99
'00:53:44.253';-94;6.2
'00:53:44.253';-83;7.03
'00:53:44.287';-77;7.58
'00:53:44.287';-77;8.67
'00:53:44.320';-80;12.45
'00:53:44.355';-86;12.66
'00:53:44.355';-92;9.55
'00:53:44.388';-96;5.96
'00:53:44.388';-98;3.43
'00:53:44.422';-95;0.43
'00:53:44.455';-91;-20.39
'00:53:44.455';-89;144.09
'00:53:44.505';-86;83.53
'00:53:44.505';-84;-40.31
'00:53:44.555';-82;-52.11
'00:53:44.555';-80;-47.29
'00:53:44.555';-79;-42.83
'00:53:44.589';-78;-37.96
'00:53:44.589';-78;-32.53
'00:53:44.638';-76;-24.62
'00:53:44.638';-76;-11.26
'00:53:44.688';-83;2.67
'00:53:44.688';-107;9.61
'00:53:44.688';-139;6.95
'00:53:44.723';-169;2.85
'00:53:44.755';-192;0.6
'00:53:44.755';-201;-0.05
'00:53:44.805';-197;-0.04
'00:53:44.805';-188;0.46
'00:53:44.805';-170;1.49
'00:53:44.855';-154;3.11
'00:53:44.855';-136;5.11
'00:53:44.905';-122;6.39
'00:53:44.905';-106;7.52
'00:53:44.938';-92;8.86
'00:53:44.938';-85;9.51
'00:53:44.972';-81;10.71
'00:53:44.972';-81;14.71
'00:53:45.022';-85;18.07
'00:53:45.022';-89;13.36
'00:53:45.055';-91;7.05
'00:53:45.055';-94;3.35
'00:53:45.089';-93;1.77
'00:53:45.089';-91;-6.26
'00:53:45.138';-89;15.07
'00:53:45.138';-85;146.78
'00:53:45.172';-80;-8.81
'00:53:45.172';-77;-55.19
'00:53:45.222';-74;-48.24
'00:53:45.222';-71;-41.42
'00:53:45.255';-70;-34.43
'00:53:45.255';-69;-28.61
'00:53:45.288';-70;-23.49
'00:53:45.288';-69;-14.04
'00:53:45.338';-76;-0.38
'00:53:45.338';-94;11.12
'00:53:45.372';-124;11.04
'00:53:45.372';-157;6.68
'00:53:45.405';-184;2.29
'00:53:45.438';-197;-0.21
'00:53:45.438';-198;-0.12
'00:53:45.473';-188;0.22
'00:53:45.473';-173;0.91
'00:53:45.521';-155;1.9
'00:53:45.521';-137;3.45
'00:53:45.555';-120;5.35
'00:53:45.555';-104;6.54
'00:53:45.605';-92;7.29
'00:53:45.605';-84;8.04
'00:53:45.605';-79;8.29
'00:53:45.655';-79;8.23
'00:53:45.655';-82;10.79
'00:53:45.705';-87;13
'00:53:45.705';-91;9.89
'00:53:45.705';-93;5.97
'00:53:45.739';-92;2.46
'00:53:45.788';-90;0.93
'00:53:45.788';-88;-9.49
'00:53:45.788';-84;27.12
'00:53:45.822';-80;135.48
'00:53:45.871';-79;-11.39
'00:53:45.871';-77;-52.37
'00:53:45.871';-76;-48.72
'00:53:45.905';-73;-43.97
'00:53:45.905';-73;-37.92
'00:53:45.938';-72;-30.07
'00:53:45.972';-71;-20.39
'00:53:45.972';-71;-8.04
'00:53:46.006';-77;4.3
'00:53:46.006';-98;12.59
'00:53:46.055';-127;11.04
'00:53:46.055';-159;6.73
'00:53:46.088';-185;3.62
'00:53:46.088';-198;2.04
'00:53:46.138';-200;1.28
'00:53:46.138';-187;1.5
'00:53:46.187';-174;1.63
'00:53:46.187';-155;1.7
'00:53:46.187';-139;2.29
'00:53:46.221';-122;3.19
'00:53:46.255';-107;4.24
'00:53:46.255';-94;4.67
'00:53:46.304';-85;5.42
'00:53:46.304';-81;6.24
'00:53:46.304';-82;7.13
'00:53:46.355';-84;10.8
'00:53:46.355';-88;12.4
'00:53:46.404';-92;8.75
'00:53:46.404';-94;5.1
'00:53:46.404';-93;2.86
'00:53:46.438';-92;1.72
'00:53:46.488';-89;-12.42
'00:53:46.488';-85;67.44
'00:53:46.488';-81;107.37
'00:53:46.538';-77;-11.65
'00:53:46.538';-74;-44.43
'00:53:46.571';-72;-40.04
'00:53:46.571';-71;-34.47
'00:53:46.605';-70;-28.96
'00:53:46.605';-70;-23.79
'00:53:46.637';-69;-16.27
'00:53:46.671';-69;-3.85
'00:53:46.671';-76;9.55
'00:53:46.704';-96;17.16
'00:53:46.755';-128;14.13
'00:53:46.755';-159;8.41
'00:53:46.755';-183;3.61
'00:53:46.789';-196;1.81
'00:53:46.789';-193;1.48
'00:53:46.838';-181;1.03
'00:53:46.838';-166;0.77
'00:53:46.888';-149;1.93
'00:53:46.888';-131;3.46
'00:53:46.888';-115;5.35
'00:53:46.922';-101;6.53
'00:53:46.971';-91;7.29
'00:53:46.971';-83;7.76
'00:53:46.971';-80;8.55
'00:53:47.005';-82;12.57
'00:53:47.005';-87;14.71
'00:53:47.054';-94;11.04
'00:53:47.054';-98;7.61
'00:53:47.103';-100;4.3
'00:53:47.103';-99;2.44
'00:53:47.103';-96;-8.83
'00:53:47.137';-92;51.82
'00:53:47.171';-88;113.72
'00:53:47.171';-84;-14.79
'00:53:47.205';-83;-43.88
'00:53:47.205';-81;-39.21
'00:53:47.255';-78;-32.96
'00:53:47.255';-77;-25.94
'00:53:47.289';-74;-19.87
'00:53:47.289';-72;-12.96
'00:53:47.338';-73;-2.51
'00:53:47.338';-78;10.72
'00:53:47.371';-97;18.16
'00:53:47.371';-127;16.31
'00:53:47.422';-159;12.27
'00:53:47.422';-184;8.04
'00:53:47.422';-198;5.68
'00:53:47.471';-196;4.57
'00:53:47.471';-187;4.38
'00:53:47.506';-171;5.34
'00:53:47.506';-153;6.32
'00:53:47.554';-136;7.57
'00:53:47.554';-119;8.25
'00:53:47.605';-104;8.7
'00:53:47.605';-93;8.77
'00:53:47.605';-84;9.01
'00:53:47.638';-80;9.72
'00:53:47.687';-82;12.98
'00:53:47.687';-87;13.67
'00:53:47.687';-91;10.55
'00:53:47.732';-96;6.95
'00:53:47.732';-97;4.42
'00:53:47.780';-96;1.43
'00:53:47.780';-92;-20.22
'00:53:47.827';-87;147.81
'00:53:47.827';-83;78.93
'00:53:47.827';-81;-44.27
'00:53:47.874';-78;-53.32
'00:53:47.874';-75;-48.58
'00:53:47.922';-73;-42.99
'00:53:47.922';-72;-37.79
'00:53:47.922';-70;-31.77
'00:53:47.969';-69;-24
'00:53:47.969';-71;-11.55
'00:53:48.016';-79;3.62
'00:53:48.016';-102;11.4
'00:53:48.063';-132;8.79
'00:53:48.063';-161;4.28
'00:53:48.063';-183;1.28
'00:53:48.110';-194;0.28
'00:53:48.110';-192;-0.16
'00:53:48.157';-182;0.17
'00:53:48.157';-166;0.85
'00:53:48.203';-150;2.06
'00:53:48.203';-135;3.62
'00:53:48.203';-119;5.21
'00:53:48.237';-105;6.08
'00:53:48.272';-93;6.63
'00:53:48.272';-84;7.74
'00:53:48.305';-81;9.15
'00:53:48.305';-83;14.03
'00:53:48.355';-88;14.02
'00:53:48.355';-89;10.05
'00:53:48.388';-92;5.49
'00:53:48.388';-94;2.01
'00:53:48.420';-93;-1.58
'00:53:48.470';-90;-26.79
'00:53:48.470';-85;157.79
'00:53:48.470';-82;73.39
'00:53:48.505';-79;-43.55
'00:53:48.505';-77;-53.23
'00:53:48.552';-75;-48.5
'00:53:48.552';-77;-41.87
'00:53:48.586';-76;-34.87
'00:53:48.586';-74;-26.63
'00:53:48.620';-72;-17.57
'00:53:48.655';-73;-4.08
'00:53:48.655';-83;9.85
'00:53:48.705';-106;14.66
'00:53:48.705';-133;9.48
'00:53:48.705';-160;3.59
'00:53:48.755';-177;0.66
'00:53:48.755';-185;0.81
'00:53:48.789';-181;1.51
'00:53:48.789';-170;1.64
'00:53:48.838';-156;2.63
'00:53:48.838';-141;3.95
'00:53:48.888';-127;5.33
'00:53:48.888';-114;6.99
'00:53:48.888';-102;8.25
'00:53:48.922';-90;8.78
'00:53:48.922';-84;10.16
'00:53:48.971';-83;13.56
'00:53:48.971';-85;17.96
'00:53:49.021';-88;15.27
'00:53:49.021';-90;10.54
'00:53:49.021';-92;6.52
'00:53:49.055';-94;3.94
'00:53:49.105';-93;-1.07
'00:53:49.105';-91;-25.01
'00:53:49.105';-87;176.04
'00:53:49.155';-84;57.68
'00:53:49.155';-82;-44.05
'00:53:49.188';-79;-49.51
'00:53:49.188';-78;-45.05
'00:53:49.222';-78;-38.91
'00:53:49.222';-77;-31.55
'00:53:49.255';-77;-24.54
'00:53:49.305';-77;-15.32
'00:53:49.305';-80;-1.41
'00:53:49.305';-93;10.84
'00:53:49.338';-117;11.6
'00:53:49.371';-146;6.71
'00:53:49.371';-172;0.65
'00:53:49.405';-191;-2.29
'00:53:49.405';-195;-3.06
'00:53:49.455';-190;-2.69
'00:53:49.455';-177;-2.23
'00:53:49.505';-161;-1.44
'00:53:49.505';-146;-0.11
'00:53:49.505';-129;1.29
'00:53:49.538';-114;3.25
'00:53:49.588';-101;4.81
'00:53:49.588';-91;5.52
'00:53:49.588';-85;7.08
'00:53:49.638';-85;10.42
'00:53:49.638';-87;14.94
'00:53:49.671';-91;11.77
'00:53:49.671';-94;6.63
'00:53:49.705';-96;2.43
'00:53:49.705';-95;0.8
'00:53:49.755';-95;-4.97
'00:53:49.755';-92;-19.73
'00:53:49.804';-89;140.54
'00:53:49.804';-85;30.59
'00:53:49.804';-82;-47.46
'00:53:49.838';-80;-47.94
'00:53:49.871';-79;-43.11
'00:53:49.871';-78;-36.17
'00:53:49.922';-78;-29.02
'00:53:49.922';-77;-21.77
'00:53:49.922';-76;-10.66
'00:53:49.970';-78;3.52
'00:53:49.970';-90;15.93
'00:53:50.021';-113;14.01
'00:53:50.021';-144;8.03
'00:53:50.021';-171;2.37
'00:53:50.055';-190;0.1
'00:53:50.105';-195;-2.08
'00:53:50.105';-188;-2.44
'00:53:50.105';-173;-1.71
'00:53:50.138';-159;-0.97
'00:53:50.138';-145;0.3
'00:53:50.188';-128;2.44
'00:53:50.188';-114;4.93
'00:53:50.237';-101;6.42
'00:53:50.237';-92;7.64
'00:53:50.237';-87;9.02
'00:53:50.271';-89;13.38
'00:53:50.305';-93;17.93
'00:53:50.305';-98;13.74
'00:53:50.355';-101;8.22
'00:53:50.355';-102;4.57
'00:53:50.405';-100;3.37
'00:53:50.405';-98;-3.04
'00:53:50.405';-93;-2.01
'00:53:50.438';-89;86.2
'00:53:50.438';-87;14.77
'00:53:50.472';-85;-48.18
'00:53:50.521';-83;-48.02
'00:53:50.521';-84;-43.76
'00:53:50.521';-82;-37.25
'00:53:50.555';-83;-31.83
'00:53:50.604';-80;-24.67
'00:53:50.604';-80;-13.26
'00:53:50.604';-82;2.62
'00:53:50.654';-97;15.98
'00:53:50.654';-126;13.98
'00:53:50.688';-157;7.95
'00:53:50.688';-184;3.33
'00:53:50.721';-198;1.19
'00:53:50.721';-201;0.69
'00:53:50.755';-194;1.11
'00:53:50.804';-181;1.34
'00:53:50.804';-165;1.94
'00:53:50.804';-151;3.27
'00:53:50.854';-134;4.51
'00:53:50.854';-120;6.03
'00:53:50.904';-107;6.93
'00:53:50.904';-97;7.23
'00:53:50.904';-91;7.41
'00:53:50.938';-90;8.14
'00:53:50.938';-92;11.58
'00:53:50.988';-96;14.24
'00:53:50.988';-99;11.07
'00:53:51.038';-100;6.92
'00:53:51.038';-97;4.24
'00:53:51.038';-95;1.62
'00:53:51.071';-92;-9.15
'00:53:51.104';-88;41.7
'00:53:51.104';-82;140.6
'00:53:51.138';-79;-17.3
'00:53:51.172';-76;-51.93
'00:53:51.172';-75;-46.28
'00:53:51.219';-73;-39.74
'00:53:51.219';-73;-34.91
'00:53:51.219';-73;-28.85
'00:53:51.253';-74;-22.08
'00:53:51.288';-76;-10.56
'00:53:51.288';-84;5.53
'00:53:51.338';-106;16.91
'00:53:51.338';-137;14.38
'00:53:51.338';-168;8.52
'00:53:51.388';-192;3.11
'00:53:51.388';-200;1
'00:53:51.420';-198;1
'00:53:51.420';-188;0.7
'00:53:51.455';-174;0.78
'00:53:51.504';-160;1.22
'00:53:51.504';-145;1.77
'00:53:51.504';-130;2.63
'00:53:51.538';-117;3.38
'00:53:51.538';-105;4.44
'00:53:51.572';-97;5.34
'00:53:51.620';-93;6.01
'00:53:51.620';-91;6.5
'00:53:51.620';-94;7.29
'00:53:51.670';-97;10.26
'00:53:51.670';-99;13.29
'00:53:51.704';-99;9.63
'00:53:51.704';-98;5.47
'00:53:51.753';-96;2.5
'00:53:51.753';-92;1.43
'00:53:51.787';-87;-7.12
'00:53:51.787';-83;18.63
'00:53:51.820';-80;138.57
'00:53:51.820';-77;-8.47
'00:53:51.856';-75;-50.32
'00:53:51.856';-73;-45.87
'00:53:51.904';-73;-40.89
'00:53:51.904';-73;-35.8
'00:53:51.937';-72;-29.83
'00:53:51.937';-73;-22.05
'00:53:51.971';-74;-10.71
'00:53:52.021';-81;5.48
'00:53:52.021';-101;16.22
'00:53:52.021';-134;14.8
'00:53:52.071';-168;9.63
'00:53:52.071';-192;4.44
'00:53:52.104';-202;2.21
'00:53:52.104';-199;2.12
'00:53:52.138';-188;2.08
'00:53:52.138';-173;2.53
'00:53:52.188';-157;3.07
'00:53:52.188';-141;4.55
'00:53:52.221';-128;5.99
'00:53:52.221';-114;7.74
'00:53:52.255';-102;9.09
'00:53:52.304';-93;9.69
'00:53:52.304';-88;9.5
'00:53:52.304';-88;9.16
'00:53:52.338';-92;8.72
'00:53:52.338';-96;8.98
'00:53:52.371';-98;11.19
'00:53:52.405';-99;13.44
'00:53:52.405';-98;10.91
'00:53:52.453';-96;7.6
'00:53:52.453';-94;4.46
'00:53:52.453';-90;2.59
'00:53:52.487';-87;-5.58
'00:53:52.521';-84;6.71
'00:53:52.521';-81;123.92
'00:53:52.555';-80;0.95
'00:53:52.588';-80;-49.21
'00:53:52.588';-78;-48.17
'00:53:52.638';-78;-43.68
'00:53:52.638';-75;-38.51
'00:53:52.638';-74;-31.75
'00:53:52.671';-74;-23.78
'00:53:52.719';-75;-12.46
'00:53:52.719';-82;1.06
'00:53:52.719';-100;10.99
'00:53:52.770';-134;9.75
'00:53:52.770';-170;4.72
'00:53:52.821';-197;-0.45
'00:53:52.821';-208;-3.22
'00:53:52.821';-205;-4
'00:53:52.855';-193;-3.66
'00:53:52.855';-177;-2.94
'00:53:52.888';-158;-1.93
'00:53:52.938';-141;-0.1
'00:53:52.938';-124;1.47
'00:53:52.938';-109;3.23
'00:53:52.988';-96;4.47
'00:53:52.988';-88;6.2
'00:53:53.038';-84;7.12
'00:53:53.038';-84;7.38
'00:53:53.038';-89;7.53
'00:53:53.071';-94;9.88
'00:53:53.121';-98;14.51
'00:53:53.121';-99;13.85
'00:53:53.121';-98;10.24
'00:53:53.171';-94;7.27
'00:53:53.171';-90;4.26
'00:53:53.220';-88;-1.27
'00:53:53.220';-83;-22.8
'00:53:53.220';-79;167.18
'00:53:53.269';-76;67.08
'00:53:53.269';-73;-40.21
'00:53:53.304';-72;-44.62
'00:53:53.304';-70;-40.8
'00:53:53.355';-70;-36.5
'00:53:53.355';-71;-31.47
'00:53:53.355';-72;-25.29
'00:53:53.388';-71;-16.18
'00:53:53.437';-73;-1.92
'00:53:53.437';-85;10.73
'00:53:53.437';-112;12.88
'00:53:53.471';-146;8.27
'00:53:53.504';-181;2.37
'00:53:53.504';-200;-3
'00:53:53.538';-205;-3.51
'00:53:53.538';-198;-3.69
'00:53:53.571';-183;-2.95
'00:53:53.603';-165;-1.15
'00:53:53.603';-147;1.63
'00:53:53.638';-131;5.08
'00:53:53.638';-116;7.55
'00:53:53.671';-102;8.53
'00:53:53.721';-91;9.35
'00:53:53.721';-86;9.54
'00:53:53.721';-86;9.89
'00:53:53.770';-89;9.91
'00:53:53.770';-95;11.71
'00:53:53.804';-99;15.47
'00:53:53.804';-101;13.73
'00:53:53.838';-100;8.77
'00:53:53.838';-97;4.26
'00:53:53.871';-93;2.23
'00:53:53.904';-87;-4.75
'00:53:53.904';-82;-7.5
'00:53:53.954';-78;105.6
'00:53:53.954';-74;14.73
'00:53:53.954';-71;-54.12
'00:53:53.987';-70;-50.47
'00:53:54.038';-69;-45.21
'00:53:54.038';-69;-40.94
'00:53:54.038';-69;-35.62
'00:53:54.088';-70;-29.25
'00:53:54.088';-67;-19.53
'00:53:54.138';-70;-2.98
'00:53:54.138';-85;10.86
'00:53:54.138';-116;14.33
'00:53:54.171';-155;9.11
'00:53:54.219';-185;4.49
'00:53:54.219';-203;2.28
'00:53:54.219';-203;3
'00:53:54.253';-192;2.67
'00:53:54.253';-176;2.49
'00:53:54.287';-158;2.38
'00:53:54.321';-141;3.25
'00:53:54.321';-125;4.27
'00:53:54.354';-112;5.17
'00:53:54.354';-99;6.12
'00:53:54.388';-88;6.86
'00:53:54.422';-83;7.14
'00:53:54.422';-81;7.33
'00:53:54.453';-83;7.84
'00:53:54.453';-87;9.42
'00:53:54.504';-92;13.48
'00:53:54.504';-95;14.09
'00:53:54.537';-95;10.59
'00:53:54.537';-93;5.96
'00:53:54.588';-90;2.74
'00:53:54.588';-84;-1.55
'00:53:54.621';-80;-26.39
'00:53:54.621';-77;173.29
'00:53:54.670';-74;68.08
'00:53:54.670';-72;-47.89
'00:53:54.703';-72;-54.47
'00:53:54.703';-72;-50.51
'00:53:54.738';-74;-44.22
'00:53:54.738';-77;-37.21
'00:53:54.787';-80;-30.47
'00:53:54.787';-83;-22.5
'00:53:54.820';-90;-10.16
'00:53:54.820';-106;4.11
'00:53:54.870';-136;11.45
'00:53:54.870';-176;7.68
'00:53:54.904';-211;1.46
'00:53:54.904';-230;-1.41
'00:53:54.939';-233;-1.23
'00:53:54.939';-227;-0.84
'00:53:54.970';-214;-0.09
'00:53:55.004';-199;0.69
'00:53:55.004';-182;1.26
'00:53:55.037';-167;2.61
'00:53:55.037';-151;4.06
'00:53:55.070';-135;5.22
'00:53:55.070';-121;6.31
'00:53:55.121';-112;7.08
'00:53:55.121';-107;7.32
'00:53:55.171';-106;7.93
'00:53:55.171';-108;9.94
'00:53:55.171';-112;14.72
'00:53:55.204';-113;14.84
'00:53:55.238';-115;11.48
'00:53:55.238';-116;7.76
'00:53:55.287';-115;5.27
'00:53:55.287';-111;2.32
'00:53:55.321';-106;-21.3
'00:53:55.321';-101;153.11
'00:53:55.371';-94;84.76
'00:53:55.371';-89;-32
'00:53:55.371';-86;-47.75
'00:53:55.404';-84;-42.93
'00:53:55.438';-82;-37.52
'00:53:55.438';-80;-31
'00:53:55.488';-79;-24.53
'00:53:55.488';-80;-16.64
'00:53:55.521';-86;-5.42
'00:53:55.521';-100;7.41
'00:53:55.569';-126;13.71
'00:53:55.569';-162;9.93
'00:53:55.569';-192;3.67
'00:53:55.603';-208;-0.37
'00:53:55.653';-213;-1.64
'00:53:55.653';-209;-1.4
'00:53:55.653';-198;-1
'00:53:55.687';-184;-0.5
