Time;II;Pleth
hh:mm:ss.000';mV';mV'
'00:53:10.206';-155;1.12
'00:53:10.206';-138;2.12
'00:53:10.253';-123;3.26
'00:53:10.253';-108;4.48
'00:53:10.288';-93;5.73
'00:53:10.288';-84;6.66
'00:53:10.339';-79;7.03
'00:53:10.339';-78;9.64
'00:53:10.339';-79;15.08
'00:53:10.387';-81;14.11
'00:53:10.387';-82;9.74
'00:53:10.421';-81;5.86
'00:53:10.421';-77;3.2
'00:53:10.457';-72;-1.91
'00:53:10.457';-68;-26.04
'00:53:10.503';-64;182.84
'00:53:10.503';-64;54.91
'00:53:10.551';-62;-48.48
'00:53:10.551';-62;-53.55
'00:53:10.589';-63;-49.11
'00:53:10.589';-63;-42.96
'00:53:10.622';-63;-35.58
'00:53:10.622';-64;-27.99
'00:53:10.672';-65;-18.9
'00:53:10.672';-67;-5.24
'00:53:10.718';-76;7.5
'00:53:10.718';-100;11.13
'00:53:10.718';-125;8.03
'00:53:10.756';-147;4.42
'00:53:10.756';-160;1.55
'00:53:10.809';-161;0.05
'00:53:10.809';-156;0.39
'00:53:10.856';-145;1.14
'00:53:10.856';-132;2.42
'00:53:10.856';-120;4
'00:53:10.907';-109;5.22
'00:53:10.907';-99;6.95
'00:53:10.940';-90;8.25
'00:53:10.940';-82;8.79
'00:53:10.974';-79;9.92
'00:53:10.974';-79;13.25
'00:53:11.023';-84;18.45
'00:53:11.023';-88;14.92
'00:53:11.072';-92;9.08
'00:53:11.072';-94;4.97
'00:53:11.072';-94;2.11
'00:53:11.124';-92;-3.14
'00:53:11.124';-89;-23.14
'00:53:11.174';-87;173.14
'00:53:11.174';-83;40.52
'00:53:11.208';-82;-48.72
'00:53:11.208';-79;-52.61
'00:53:11.241';-78;-48.31
'00:53:11.241';-76;-42.67
'00:53:11.292';-74;-35.11
'00:53:11.292';-73;-28.89
'00:53:11.341';-74;-18.66
'00:53:11.341';-76;-3
'00:53:11.341';-89;10.02
'00:53:11.392';-116;12
'00:53:11.392';-149;6.9
'00:53:11.392';-178;1.03
'00:53:11.441';-194;-2.62
'00:53:11.441';-197;-3.74
'00:53:11.490';-188;-3.1
'00:53:11.490';-174;-2.47
'00:53:11.526';-157;-1.01
'00:53:11.526';-140;0.75
'00:53:11.574';-124;2.42
'00:53:11.574';-111;4.25
'00:53:11.574';-98;5.51
'00:53:11.608';-90;6.62
'00:53:11.659';-88;8.83
'00:53:11.659';-90;15.05
'00:53:11.659';-93;16.5
'00:53:11.708';-99;12.42
'00:53:11.708';-104;8.24
'00:53:11.758';-107;4.43
'00:53:11.758';-106;1.94
'00:53:11.758';-103;-13.35
'00:53:11.806';-99;73.37
'00:53:11.806';-95;103.74
'00:53:11.841';-91;-9.31
'00:53:11.841';-86;-44.12
'00:53:11.891';-83;-38.32
'00:53:11.891';-82;-32.31
'00:53:11.924';-80;-26.72
'00:53:11.924';-78;-20.06
'00:53:11.958';-77;-12.96
'00:53:11.958';-78;-1.86
'00:53:11.990';-83;10.55
'00:53:11.990';-103;15.4
'00:53:12.023';-136;11.46
'00:53:12.074';-170;4.51
'00:53:12.074';-192;-0.63
'00:53:12.074';-199;-1.33
'00:53:12.108';-194;-1.58
'00:53:12.157';-181;-1.42
'00:53:12.157';-162;-0.4
'00:53:12.157';-147;1.19
'00:53:12.191';-131;4.04
'00:53:12.241';-118;6.94
'00:53:12.241';-105;8.94
'00:53:12.241';-98;10.09
'00:53:12.274';-93;12.35
'00:53:12.274';-93;18.65
'00:53:12.324';-94;22.79
'00:53:12.324';-99;16.69
'00:53:12.357';-103;11.65
'00:53:12.357';-104;7.77
'00:53:12.391';-105;5.05
'00:53:12.441';-101;-4.79
'00:53:12.441';-97;26.68
'00:53:12.441';-93;144.45
'00:53:12.474';-88;-6.95
'00:53:12.474';-84;-51.24
'00:53:12.524';-81;-45.98
'00:53:12.524';-77;-40.21
'00:53:12.559';-76;-33.13
'00:53:12.559';-76;-26.96
'00:53:12.607';-76;-21.05
'00:53:12.607';-76;-10.41
'00:53:12.640';-81;2.13
'00:53:12.640';-101;11.82
'00:53:12.692';-133;10.08
'00:53:12.692';-166;4.74
'00:53:12.692';-186;-1.06
'00:53:12.741';-193;-3.1
'00:53:12.741';-188;-2.64
'00:53:12.775';-175;-1.8
'00:53:12.775';-160;-0.71
'00:53:12.824';-146;0.34
'00:53:12.824';-132;2.2
'00:53:12.872';-119;4.36
'00:53:12.872';-107;5.98
'00:53:12.872';-99;7.34
'00:53:12.906';-93;8.51
'00:53:12.941';-91;9.58
'00:53:12.941';-92;13.2
'00:53:12.991';-96;16.28
'00:53:12.991';-101;11.62
'00:53:12.991';-103;6.19
'00:53:13.024';-102;3.07
'00:53:13.058';-99;1.7
'00:53:13.058';-96;-6.7
'00:53:13.107';-93;21.05
'00:53:13.107';-89;140.15
'00:53:13.141';-87;-12
'00:53:13.141';-85;-52.49
'00:53:13.174';-83;-47.08
'00:53:13.174';-82;-41.25
'00:53:13.224';-81;-35.74
'00:53:13.224';-81;-29.62
'00:53:13.257';-82;-23.45
