Time;Pleth;II
hh:mm:ss.000';mv';mV'
'20:56:18.429';-204;1
'20:56:18.463';-250;-8.38
'20:56:18.463';-269;-17.51
'20:56:18.496';-269;-22.6
'20:56:18.530';-253;-22.81
'20:56:18.530';-233;-20.4
'20:56:18.579';-208;-16.53
'20:56:18.579';-185;-11.55
'20:56:18.615';-162;-6.95
'20:56:18.615';-143;-1.64
'20:56:18.663';-128;1.2
'20:56:18.663';-114;4.2
'20:56:18.663';-100;6.24
'20:56:18.713';-87;8.47
'20:56:18.713';-78;9.8
'20:56:18.761';-73;10.55
'20:56:18.761';-73;11.26
'20:56:18.761';-77;11.46
'20:56:18.796';-81;11.8
'20:56:18.844';-84;12.25
'20:56:18.844';-84;14.2
'20:56:18.844';-83;15.56
'20:56:18.877';-80;13.62
'20:56:18.911';-75;11.78
'20:56:18.911';-71;10.5
'20:56:18.943';-67;9.38
'20:56:18.943';-62;8.67
'20:56:18.977';-59;8.22
'20:56:19.028';-56;4.32
'20:56:19.028';-55;-6.24
'20:56:19.028';-54;84.85
'20:56:19.063';-54;84.99
'20:56:19.063';-55;50.49
'20:56:19.097';-57;-11.28
'20:56:19.133';-60;-31.15
'20:56:19.133';-60;-31.04
'20:56:19.168';-61;-26.73
'20:56:19.168';-62;-18.99
'20:56:19.201';-63;-7.94
'20:56:19.245';-65;2
'20:56:19.245';-86;6.95
'20:56:19.245';-146;5.92
'20:56:19.279';-215;0.93
'20:56:19.313';-254;-5.61
'20:56:19.313';-267;-8.99
'20:56:19.362';-262;-9
'20:56:19.362';-246;-7.73
'20:56:19.396';-222;-5.66
'20:56:19.396';-197;-3.4
'20:56:19.446';-172;-0.36
'20:56:19.446';-151;2.18
'20:56:19.446';-135;3.69
'20:56:19.479';-122;4.51
'20:56:19.512';-108;4.96
'20:56:19.512';-96;5.23
'20:56:19.562';-86;5.62
'20:56:19.562';-78;5.91
'20:56:19.596';-76;5.92
'20:56:19.596';-79;5.29
'20:56:19.630';-85;4.87
'20:56:19.630';-90;5.26
'20:56:19.665';-92;6.49
'20:56:19.665';-91;6.61
'20:56:19.703';-88;5.31
'20:56:19.703';-83;4
