Time;Pleth;II
hh:mm:ss.000';mV';mV'
'00:24:06.000';-159;24.48
'00:24:06.100';-147;58
'00:24:06.100';-136;133.87
'00:24:06.100';-125;85.74
'00:24:06.100';-115;-1.68
'00:24:06.100';-106;-50.87
'00:24:06.200';-95;-51.83
'00:24:06.200';-87;-54.84
'00:24:06.200';-79;-55.35
'00:24:06.200';-73;-50.95
'00:24:06.300';-67;-41.4
'00:24:06.300';-62;-30.7
'00:24:06.300';-61;-24.04
'00:24:06.300';-66;-25.71
'00:24:06.400';-78;-23.3
'00:24:06.400';-97;-17.2
'00:24:06.400';-117;-7.56
'00:24:06.400';-136;4.66
'00:24:06.400';-154;7.46
'00:24:06.400';-166;0.51
'00:24:06.400';-175;3.48
'00:24:06.500';-183;22.39
'00:24:06.500';-184;41.75
'00:24:06.500';-183;33.23
'00:24:06.500';-175;26.36
'00:24:06.600';-166;21.64
'00:24:06.600';-153;20.29
'00:24:06.600';-139;11.57
'00:24:06.600';-126;3.99
'00:24:06.700';-115;-3.96
'00:24:06.700';-106;-6.87
'00:24:06.700';-99;3.76
'00:24:06.700';-92;27.47
'00:24:06.700';-88;33.85
'00:24:06.800';-84;15.35
'00:24:06.800';-78;-14.66
'00:24:06.800';-75;-39.35
'00:24:06.800';-71;-53.62
'00:24:06.800';-68;-56.63
'00:24:06.900';-64;-56.81
'00:24:06.900';-61;-53.13
'00:24:06.900';-59;-12.87
'00:24:06.900';-57;56.4
'00:24:06.900';-55;17.96
'00:24:06.900';-53;-76.93
'00:24:06.900';-51;-77.91
'00:24:07.000';-50;-67.41
'00:24:07.000';-50;-53.78
'00:24:07.000';-49;-31.37
'00:24:07.000';-49;0.89
'00:24:07.000';-48;38.52
'00:24:07.100';-50;53.68
'00:24:07.100';-58;51.1
'00:24:07.100';-75;45.67
'00:24:07.100';-99;40.25
'00:24:07.200';-122;31.93
'00:24:07.200';-145;36.56
'00:24:07.200';-165;34.75
'00:24:07.200';-182;32.81
'00:24:07.200';-195;33.26
'00:24:07.200';-202;33.77
'00:24:07.300';-205;37.44
'00:24:07.300';-207;38.43
'00:24:07.300';-204;36.66
'00:24:07.300';-197;30.42
'00:24:07.400';-185;23.36
'00:24:07.400';-170;12.28
'00:24:07.400';-154;10.24
'00:24:07.400';-140;12.85
'00:24:07.500';-131;15.82
'00:24:07.500';-123;21.73
'00:24:07.500';-116;21.87
'00:24:07.500';-110;17.49
'00:24:07.500';-102;38.71
'00:24:07.600';-95;49.7
'00:24:07.600';-88;16.99
'00:24:07.600';-81;-52.31
'00:24:07.600';-76;-44.07
'00:24:07.600';-69;-35.19
'00:24:07.600';-66;-29.05
'00:24:07.600';-62;-27.37
'00:24:07.700';-58;-21.79
'00:24:07.700';-55;-8.07
'00:24:07.700';-55;8.25
'00:24:07.700';-58;27.55
'00:24:07.700';-68;41.63
'00:24:07.800';-87;53.46
'00:24:07.800';-111;62.27
'00:24:07.800';-132;59.69
'00:24:07.800';-150;52.88
'00:24:07.900';-165;41.74
'00:24:07.900';-176;31.95
'00:24:07.900';-183;23.36
'00:24:07.900';-187;19.57
'00:24:07.900';-187;18.3
'00:24:08.000';-184;14.74
'00:24:08.000';-176;17.83
'00:24:08.000';-163;20.44
'00:24:08.000';-148;17.42
'00:24:08.100';-134;18.49
'00:24:08.100';-123;33.07
'00:24:08.100';-114;101.82
'00:24:08.100';-108;54.32
'00:24:08.100';-100;-29.18
'00:24:08.100';-93;-26.31
'00:24:08.100';-86;-20.71
'00:24:08.200';-81;-15.09
'00:24:08.200';-75;-8.28
'00:24:08.200';-70;-3.76
'00:24:08.200';-65;-1.88
'00:24:08.200';-63;-5.59
'00:24:08.300';-64;-11.03
'00:24:08.300';-70;-13.49
'00:24:08.300';-85;-14.56
'00:24:08.300';-103;-15.75
'00:24:08.300';-121;-20.29
